code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,       s_n,       p_n,   p_n_max,           k_n,   discl_n,           FER 
1944,        20,        0.0200,    1.19462871,    5.30000000,   13.55000000,    0.83330000,         0,       135,       152,          1809,        22,    0.00000000
1944,        20,        0.0200,    1.22803373,    5.05000000,    8.65000000,    0.83330000,         0,       118,       152,          1826,        22,    0.00000000
1944,        20,        0.0200,    1.23436837,    6.40000000,    8.15000000,    0.83330000,         0,       152,       152,          1792,        22,    0.00000000
1944,        20,        0.0200,    1.25710862,    2.85000000,    9.45000000,    0.83330000,         0,        50,       152,          1894,        22,    0.00000000
1944,        20,        0.0200,    1.27628689,    4.35000000,    9.45000000,    0.83330000,         0,        84,       152,          1860,        22,    0.00000000
1944,        20,        0.0200,    1.27770174,    5.00000000,    8.35000000,    0.83330000,         0,       101,       152,          1843,        22,    0.00000000
1944,        20,        0.0200,    1.30475063,    1.30000000,    5.55000000,    0.83330000,        33,         0,       152,          1911,        22,    0.00000000
1944,        20,        0.0200,    1.32331605,    2.40000000,    9.80000000,    0.83330000,         0,        16,       152,          1928,        22,    0.00000000
1944,        20,        0.0200,    1.32876156,    4.35000000,    5.75000000,    0.83330000,         0,        67,       152,          1877,        22,    0.00000000
1944,        20,        0.0200,    1.33323824,    3.15000000,    8.05000000,    0.83330000,         0,        33,       152,          1911,        22,    0.00000000
1944,        20,        0.0200,    1.33861014,    2.00000000,    5.70000000,    0.83330000,         0,         0,       152,          1944,        22,    0.00000000
1944,        20,        0.0200,    1.35061187,    2.15000000,    8.75000000,    0.83330000,         0,         0,       152,          1944,        22,    0.00000000
1944,        20,        0.0200,    1.36080692,    1.70000000,    6.20000000,    0.83330000,        66,         0,       152,          1878,        22,    0.00000000
1944,        20,        0.0200,    1.36091122,    1.85000000,    5.20000000,    0.83330000,        49,         0,       152,          1895,        22,    0.00000000
1944,        20,        0.0200,    1.37392159,    2.30000000,    5.40000000,    0.83330000,        16,         0,       152,          1928,        22,    0.00000000
1944,        20,        0.0200,    1.37671608,    1.60000000,    3.40000000,    0.83330000,        99,         0,       152,          1845,        22,    0.00000000
1944,        20,        0.0200,    1.38085373,    1.80000000,    6.30000000,    0.83330000,        82,         0,       152,          1862,        22,    0.00000000
1944,        20,        0.0200,    1.38340250,    0.95000000,    4.15000000,    0.83330000,       181,         0,       152,          1763,        22,    0.00000000
1944,        20,        0.0200,    1.38450740,    1.55000000,    6.25000000,    0.83330000,       115,         0,       152,          1829,        22,    0.00000000
1944,        20,        0.0200,    1.39320470,    1.50000000,    5.25000000,    0.83330000,       132,         0,       152,          1812,        22,    0.00000000
1944,        20,        0.0200,    1.40108173,    0.70000000,    2.25000000,    0.83330000,       231,         0,       152,          1713,        22,    0.00000000
1944,        20,        0.0200,    1.43216317,    1.65000000,    4.80000000,    0.83330000,       165,         0,       152,          1779,        22,    0.00000000
1944,        20,        0.0200,    1.43226833,    1.20000000,    5.40000000,    0.83330000,       214,         0,       152,          1730,        22,    0.00000000
1944,        20,        0.0200,    1.43720602,    0.95000000,    4.80000000,    0.83330000,       247,         0,       152,          1697,        22,    0.00000000
1944,        20,        0.0200,    1.44458853,    1.95000000,    5.10000000,    0.83330000,       148,         0,       152,          1796,        22,    0.00000000
1944,        20,        0.0200,    1.44711993,    0.90000000,    6.60000000,    0.83330000,       264,         0,       152,          1680,        22,    0.00000000
1944,        20,        0.0200,    1.45477730,    1.60000000,    5.60000000,    0.83330000,       198,         0,       152,          1746,        22,    0.00000000
1944,        20,        0.0200,    1.45722709,    0.70000000,    3.95000000,    0.83330000,       297,         0,       152,          1647,        22,    0.00000000
1944,        20,        0.0200,    1.45723654,    0.85000000,    4.80000000,    0.83330000,       281,         0,       152,          1663,        22,    0.00000000
1944,        20,        0.0200,    1.47256608,    0.55000000,    2.10000000,    0.83330000,       330,         0,       152,          1614,        22,    0.00000000
1944,        20,        0.0200,    1.48196764,    0.80000000,    3.05000000,    0.83330000,       314,         0,       152,          1630,        22,    0.00000000
1944,        20,        0.0200,    1.50822187,    0.60000000,    4.00000000,    0.83330000,       363,         0,       152,          1581,        22,    0.00000000
1944,        20,        0.0200,    1.51964300,    0.55000000,    1.25000000,    0.83330000,       380,         0,       152,          1564,        22,    0.00000000
1944,        20,        0.0200,    1.52027797,    0.40000000,    2.35000000,    0.83330000,       396,         0,       152,          1548,        22,    0.00000000
1944,        20,        0.0200,    1.54180962,    1.10000000,    3.45000000,    0.83330000,       347,         0,       152,          1597,        22,    0.00000000
1944,        20,        0.0200,    1.54825952,    0.35000000,    2.00000000,    0.83330000,       429,         0,       152,          1515,        22,    0.00000000
1944,        20,        0.0200,    1.55025488,    0.20000000,    1.05000000,    0.83330000,       446,         0,       152,          1498,        22,    0.00000000
1944,        20,        0.0200,    1.55747797,    0.60000000,    2.30000000,    0.83330000,       413,         0,       152,          1531,        22,    0.00000000
1944,        20,        0.0200,    1.60541233,    0.05000000,    0.25000000,    0.83330000,       512,         0,       152,          1432,        22,    0.00000000
1944,        20,        0.0200,    1.61341343,    0.30000000,    1.25000000,    0.83330000,       495,         0,       152,          1449,        22,    0.00000000
1944,        20,        0.0200,    1.61422125,    0.65000000,    3.60000000,    0.83330000,       462,         0,       152,          1482,        22,    0.00000000
1944,        20,        0.0200,    1.61702698,    0.50000000,    1.45000000,    0.83330000,       479,         0,       152,          1465,        22,    0.00000000
1944,        20,        0.0200,    1.66199880,    0.40000000,    2.20000000,    0.83330000,       528,         0,       152,          1416,        22,    0.00000000
1944,        20,        0.0200,    1.67475014,    0.15000000,    0.55000000,    0.83330000,       562,         0,       152,          1382,        22,    0.00000000
1944,        20,        0.0200,    1.68219463,    0.40000000,    1.35000000,    0.83330000,       545,         0,       152,          1399,        22,    0.00000000
1944,        20,        0.0200,    1.68867319,    0.10000000,    0.15000000,    0.83330000,       578,         0,       152,          1366,        22,    0.00000000
1944,        20,        0.0200,    1.73047830,    0.10000000,    0.30000000,    0.83330000,       611,         0,       152,          1333,        22,    0.00000000
1944,        20,        0.0200,    1.73301413,    0.30000000,    1.05000000,    0.83330000,       595,         0,       152,          1349,        22,    0.00000000
1944,        20,        0.0200,    1.74692284,    0.05000000,    0.40000000,    0.83330000,       628,         0,       152,          1316,        22,    0.00000000
1944,        20,        0.0200,    1.78038823,    0.15000000,    0.90000000,    0.83330000,       644,         0,       152,          1300,        22,    0.00000000
1944,        20,        0.0200,    1.80397872,    0.15000000,    1.20000000,    0.83330000,       661,         0,       152,          1283,        22,    0.00000000
1944,        20,        0.0200,    1.82675982,    0.15000000,    0.90000000,    0.83330000,       677,         0,       152,          1267,        22,    0.00000000
1944,        20,        0.0200,    1.83916037,    0.05000000,    0.35000000,    0.83330000,       694,         0,       152,          1250,        22,    0.00000000
1944,        20,        0.0200,    1.86930922,    0.10000000,    0.35000000,    0.83330000,       710,         0,       152,          1234,        22,    0.00000000
1944,        20,        0.0200,    1.88264038,    0.00000000,    0.00000000,    0.83330000,       727,         0,       152,          1217,        22,    0.00000000
1944,        20,        0.0200,    1.92067242,    0.10000000,    0.30000000,    0.83330000,       743,         0,       152,          1201,        22,    0.00000000
1944,        20,        0.0200,    1.95481816,    0.15000000,    0.85000000,    0.83330000,       760,         0,       152,          1184,        22,    0.00000000
1944,        20,        0.0200,    1.96162101,    0.00000000,    0.00000000,    0.83330000,       776,         0,       152,          1168,        22,    0.00000000
1944,        20,        0.0200,    1.99059369,    0.00000000,    0.00000000,    0.83330000,       793,         0,       152,          1151,        22,    0.00000000
1944,        20,        0.0200,    2.02550701,    0.05000000,    0.20000000,    0.83330000,       809,         0,       152,          1135,        22,    0.00000000
